seed,score,class_imbalance,split_dev,n_train,n_eval,eval_pct,n_eval_sources,eval_left,eval_centre,eval_right,train_left,train_centre,train_right
3189,0.1275833214394415,0.004677698269633546,0.01975898382368907,37754,8301,18.024101617631093,111,0.32863510420431274,0.2658715817371401,0.40549331405854716,0.33124966890925467,0.26301848810722045,0.40573184298352494
1349,0.13586602276773338,0.012764399303704488,0.03348170665508629,35302,10753,23.34817066550863,111,0.3266995257137543,0.26122942434669394,0.41207104993955174,0.3320208486771288,0.26423432100164296,0.40374483032122827
8407,0.1368358504119628,0.02012572135179863,0.019693844316578002,35937,10118,21.9693844316578,111,0.3207155564340779,0.2692231666337221,0.4100612769322,0.333611598074408,0.261930600773576,0.404457801152016
7095,0.13835557632766127,0.02472134893647976,0.014743241776137228,37523,8532,18.52567582238628,111,0.33122362869198313,0.25117205813408344,0.41760431317393343,0.3306771846600752,0.26634330943687873,0.40297950590304615
4183,0.138707577300019,0.03125199724762712,0.00047768971881445577,36822,9233,20.047768971881446,111,0.3166901332178057,0.26199501787068125,0.42131484891151305,0.33431100972244854,0.26391830970615393,0.40177068057139753
3651,0.1388896006603115,0.026262784562007424,0.013179893605471726,37451,8604,18.682010639452827,111,0.3439098093909809,0.25371920037192003,0.40237099023709905,0.32776160850177566,0.2657872953993218,0.40645109609890256
2937,0.1390623197871016,0.016291177403331858,0.03780262729345346,35103,10952,23.780262729345345,111,0.3328159240321403,0.2553871439006574,0.41179693206720236,0.3301427228442014,0.266074124718685,0.40378315243711366
191,0.13910329930564225,0.01123878756966884,0.05009228096840734,34537,11518,25.009228096840737,111,0.3338253168952943,0.2661052266018406,0.4000694565028651,0.3297622839273822,0.2626748125199062,0.4075629035527116
416,0.13963416795778785,0.030073121727182184,0.0070133535989577445,36521,9534,20.701335359895776,111,0.3458149779735683,0.2609607719739878,0.3932242500524439,0.3268530434544509,0.2642041565126913,0.4089428000328578
5018,0.1398252047451638,0.023823282739109886,0.02277711431983498,35795,10260,22.277711431983498,111,0.34269005847953216,0.2542884990253411,0.4030214424951267,0.3273641570051683,0.2661824277133678,0.4064534152814639
2615,0.14049416493501113,0.014298763560715189,0.0483118011073716,34619,11436,24.83118011073716,111,0.3363938440013991,0.2563833508219657,0.40722280517663517,0.32892342355354,0.26589445102400416,0.40518212542245585
5536,0.14135380373312412,0.028705113390523507,0.01717511670828356,36053,10002,21.717511670828358,111,0.34513097380523894,0.259248150369926,0.395620875824835,0.3267966604720828,0.2647213824092309,0.4084819571186864
6198,0.14264093594802982,0.02242743359308863,0.03739007708175007,35122,10933,23.73900770817501,111,0.34199213390652156,0.2589408213665051,0.3990670447269734,0.3272877398781391,0.2649621319970389,0.40775012812482203
3322,0.14283164247197055,0.021994364037126235,0.0391922701118228,35039,11016,23.919227011182283,111,0.34177559912854033,0.25844226579520696,0.3997821350762527,0.32732098518793346,0.26513313736122607,0.4075458774508405
1935,0.1429509199689117,0.010386624201481343,0.06752795570513515,33734,12321,26.752795570513516,111,0.3358493628763899,0.25833942050158265,0.40581121662202746,0.3289263058042331,0.2654295369656726,0.4056441572300943
8108,0.14321768769017149,0.030988295659615417,0.01915101509065248,35962,10093,21.91510150906525,111,0.32616665015357177,0.25265035172892103,0.4211829981175072,0.33207274345142096,0.26658695289472223,0.40134030365385687
7572,0.14371580068098266,0.016347851038756633,0.05628053414395828,34252,11803,25.62805341439583,111,0.33627043971871556,0.255358807082945,0.40837075319833943,0.3288859044727315,0.26634941025341585,0.4047646852738526
793,0.14394275156434275,0.004639105080415096,0.08528932797741831,40772,5283,11.47106720225817,111,0.33125118303993945,0.26537951921256864,0.403369297747492,0.33071715883449426,0.26329343667222604,0.4059894044932797
9948,0.14532978570051228,0.023751393183092606,0.04496797307567038,34773,11282,24.49679730756704,111,0.3349583407197305,0.27122850558411626,0.39381315369615316,0.3294222528973629,0.2610358611566445,0.40954188594599256
5645,0.14647203672886672,0.024352354754795413,0.04809466941700141,34629,11426,24.809466941700144,111,0.34150183791353056,0.2513565552249256,0.4071416068615438,0.3272401744202836,0.26755031909671084,0.4052095064830056
5210,0.14702472732230848,0.04516819687403545,0.0003474107045923214,36828,9227,20.034741070459233,111,0.3205809038690799,0.28611683103934105,0.39330226509157906,0.3333333333333333,0.25787444335831433,0.40879222330835235
2192,0.14719955235595988,0.04360490540820894,0.004798610357181626,36623,9432,20.479861035718162,111,0.33100084817642067,0.24173027989821882,0.42726887192536045,0.3307211315293668,0.2691478032930126,0.40013106517762065
7989,0.14828208680853247,0.04172693791330179,0.013635870155249169,37472,8583,18.636412984475083,111,0.3099149481533263,0.26867062798555286,0.4214144238611208,0.33555721605465416,0.2623558923996584,0.40208689154568744
672,0.14839926790061922,0.03301079327450235,0.03502334165671478,35231,10824,23.502334165671478,111,0.3472838137472284,0.24907612712490762,0.403640059127864,0.32570747353183277,0.267974227243053,0.40631829922511425
1548,0.14843301435853437,0.046483966405153454,0.002822711974812736,36974,9081,19.717728802518728,111,0.34346437617002534,0.2740887567448519,0.38244686708512277,0.32766268188456754,0.2609401200843836,0.41139719803104885
9453,0.14852660808068602,0.04555429749022183,0.00542829225925523,36594,9461,20.542829225925523,111,0.3080012683648663,0.26487686291089735,0.42712186872423635,0.33666721320435045,0.26318522162103075,0.4001475651746188
4616,0.149210203947954,0.03857832700808189,0.024905004885463017,35697,10358,22.490500488546303,111,0.35006758061401816,0.25854412048658043,0.3913882988994014,0.3251813877916912,0.26498025044121354,0.40983836176709526
1120,0.1492134472654289,0.04639142623676881,0.006166540006513926,36560,9495,20.616654000651394,111,0.3381779884149552,0.2403370194839389,0.42148499210110585,0.3288566739606127,0.2695568927789934,0.4015864332603939
6680,0.14935122298170048,0.022329444570387602,0.06446639887091521,39813,6242,13.55336011290848,111,0.32473566164690804,0.25841076578019867,0.4168535725728933,0.3317258182000854,0.2643357697234572,0.4039384120764574
7025,0.14940271959908136,0.03313614947805149,0.03873629356204539,38628,7427,16.12637064379546,111,0.334320721691127,0.2765585027601993,0.38912077554867375,0.3300973387180284,0.2610282696489593,0.4088743916330123
9230,0.14953652510251386,0.041040192197285164,0.020301813049614592,35909,10146,22.03018130496146,111,0.31707076680465207,0.2840528287009659,0.398876404494382,0.33465148013032947,0.25773482970842965,0.40761369016124094
2093,0.15090490054636752,0.035404558392294005,0.039300835957007924,35034,11021,23.930083595700793,111,0.3457036566554759,0.2663097722529716,0.3879865710915525,0.3260832334303819,0.26265913112975964,0.41125763543985844
6367,0.1510965097017281,0.033516401465797874,0.04459884920204102,34790,11265,24.459884920204104,111,0.34753661784287615,0.2632046160674656,0.38925876608965826,0.32535211267605635,0.2636389767174475,0.41100891060649614
3773,0.1512446784935538,0.04851925724358286,0.009184670502659864,37267,8788,19.081532949734015,111,0.3338643604915794,0.2847064178425125,0.38142922166590804,0.33005071510988276,0.2585397268360748,0.41140955805404245
730,0.15150892973411556,0.035072294947924465,0.04251438497448701,34886,11169,24.251438497448703,111,0.33002059271197065,0.24675440952636762,0.4232249977616617,0.3310210399587227,0.26890443157713695,0.4000745284641403
2169,0.1516224195216346,0.03348820245576617,0.04677016610574311,34690,11365,24.677016610574313,111,0.31403431588209413,0.2728552573691157,0.41311042674879017,0.33626405304122226,0.2604785240703373,0.40325742288844046
5339,0.1518070888382382,0.03607586739899271,0.041298447508413855,38746,7309,15.870155249158616,111,0.32343685866739635,0.28157066630181965,0.39499247503078394,0.3321633200846539,0.26013007794352966,0.40770660197181646
2755,0.15224333434439935,0.034758286491608475,0.0462056237107806,38972,7083,15.379437628921941,111,0.34815756035578144,0.24918819709162784,0.4026542425525907,0.32761982962126657,0.2661397926716617,0.4062403777070717
2824,0.15263418369746062,0.043868790850716655,0.025903810661165982,35651,10404,22.5903810661166,111,0.32525951557093424,0.28546712802768165,0.3892733564013841,0.3323889932961207,0.2571316372612269,0.4104793694426524
8566,0.15265522155913958,0.05299624348776749,0.004082075778959915,36656,9399,20.408207577895993,111,0.31599106287902967,0.29003085434620707,0.39397808277476326,0.33457005674378,0.2567383238760367,0.40869161938018334
7724,0.15270016914848114,0.01215992680941641,0.10226902616436867,32134,13921,30.226902616436867,111,0.33309388693340997,0.2574527691976151,0.4094533438689749,0.32977531586481607,0.26616667703989544,0.4040580070952885
4903,0.15362097296127616,0.04542296808608831,0.026120942351536225,38047,8008,17.38790576484638,111,0.30806693306693306,0.26523476523476525,0.4266983016983017,0.33555865114200856,0.26317449470391885,0.4012668541540726
6428,0.15370735824470844,0.03869110669675213,0.04262295081967213,34881,11174,24.262295081967213,111,0.3399856810452837,0.2736710220153929,0.38634329693932346,0.32782890398784437,0.2602849688942404,0.4118861271179152
3451,0.15420203310735495,0.01944897774944948,0.09078275974378458,32663,13392,29.07827597437846,111,0.3395310633213859,0.2538082437275986,0.40666069295101553,0.32718978660870096,0.26751982365367544,0.4052903897376236
9835,0.1543015151817912,0.0290871511992436,0.06804907176202368,33710,12345,26.80490717620237,111,0.345321992709599,0.2606723369785338,0.3940056703118672,0.3254523880154257,0.2645802432512607,0.4099673687333136
9617,0.15520933645963098,0.05647504643142656,0.0059494083161437394,37118,8937,19.405059168385627,111,0.3243817835962851,0.24169184290030213,0.4339263735034128,0.33231855164610163,0.26879142195161376,0.3988900264022846
9498,0.15545305562154538,0.03040927311698252,0.06948214091846705,33644,12411,26.948214091846705,111,0.3398598017887358,0.24832809604383208,0.41181210216743214,0.32742836761383903,0.2691416002853406,0.40343003210082035
6484,0.1556235174561364,0.025916478986489577,0.08094669417001413,40572,5483,11.90533058299859,111,0.319715484223965,0.2764909720955681,0.4037935436804669,0.33227348910578725,0.26178152420388445,0.4059449866903283
1025,0.1558924634012009,0.02006790320752766,0.0960590598197807,41268,4787,10.394094018021931,111,0.3350741591811155,0.26927094213494884,0.39565489868393566,0.3302801201899777,0.262867112532713,0.4068527672773093
6263,0.1559934547305578,0.040239479065144745,0.048051243078927386,39057,6998,15.194875692107262,111,0.3163761074592741,0.2836524721348957,0.3999714204058302,0.3333589369383209,0.259927797833935,0.4067132652277441
8882,0.15628116142188253,0.01894249110397367,0.10031484095103682,41464,4591,9.96851590489632,111,0.3238945763450229,0.2609453278152908,0.4151600958396863,0.3315406135442794,0.2638192166698823,0.40464016978583833
5492,0.1563523247294656,0.049984268186836156,0.026099229182499184,38046,8009,17.390077081750082,111,0.34261455862155077,0.2766887251841678,0.3806967161942814,0.3282868107028334,0.2607632865478631,0.4109499027493035
2161,0.1568321396557521,0.0563027235275565,0.01285419606991639,36252,9803,21.28541960699164,111,0.3430582474752627,0.2794042640008161,0.37753748852392127,0.3274577954319762,0.25924086946927066,0.41330133509875316
6630,0.15732177546529982,0.058602516427665785,0.009293236347844958,36416,9639,20.929323634784495,111,0.3546010996991389,0.2690113082269945,0.3763875920738666,0.32447275922671354,0.26208260105448156,0.4134446397188049
5603,0.15740862323033425,0.03198578186459483,0.07352079035935294,33458,12597,27.352079035935294,111,0.34150988330554893,0.268794157339049,0.3896959593554021,0.3267379998804471,0.26155179628190567,0.4117102038376472
6781,0.15785804801731718,0.05562412220275931,0.018586472695689915,35988,10067,21.858647269568994,111,0.3315784245554783,0.23572067150094367,0.432700903943578,0.33055462932088475,0.2713126597754807,0.39813271090363456
5956,0.1583431308210579,0.04173096867351084,0.05387037238084899,39325,6730,14.612962761915101,111,0.3303120356612184,0.28439821693907874,0.38528974739970284,0.3308582326764145,0.2599618563254927,0.4091799109980928
9935,0.15842404447279806,0.053934727882822,0.024905004885463017,35697,10358,22.490500488546303,111,0.31029156207762115,0.2905000965437343,0.3992083413786445,0.336722973919377,0.2557077625570776,0.4075692635235454
2008,0.15864152954465166,0.04392916478740044,0.04978829660188905,34551,11504,24.978829660188907,111,0.3507475660639777,0.2415681502086231,0.4076842837273992,0.32412954762524965,0.2708459957743625,0.4050244566003878
4506,0.15882926558708393,0.05898891882909768,0.014395831071544879,36181,9874,21.43958310715449,111,0.30251164674903785,0.2623050435487138,0.43518330970224833,0.33849257897791657,0.26386777590448024,0.39763964511760314
